Quê quán,Tuổi tác,Giới tính,Nghề nghiệp,Thu nhập (triệu),Ngân sách thuê nhà (triệu),Thói quen sinh hoạt,Yêu cầu tiện nghi,Địa điểm mục tiêu,Khu vực mong muốn,Diện tích (m2),Số phòng
Bắc Giang,31,Nữ,Công nhân,14,3,Thích yên tĩnh,"['Chỗ để xe', 'Máy lạnh', 'Bếp']","{'Latitude': 19.86451, 'Longitude': 109.074008}",Hà Đông,26,2
Quảng Ninh,18,Nữ,Sinh viên,7,1,Không quan trọng,"['Máy lạnh', 'An ninh tốt']","{'Latitude': 13.028404, 'Longitude': 107.79674}",Quốc Oai,50,4
Lạng Sơn,29,Nam,Freelancer,16,1,Không quan trọng,"['Chỗ để xe', 'Nhà vệ sinh riêng', 'Máy lạnh', 'Nội thất sẵn']","{'Latitude': 14.852595, 'Longitude': 106.245183}",Phú Xuyên,43,2
Hà Giang,32,Nữ,Freelancer,18,1,Thích yên tĩnh,['Chỗ để xe'],"{'Latitude': 16.480926, 'Longitude': 108.574153}",Hoàn Kiếm,24,4
Sơn La,26,Nam,Phục vụ,15,3,Nuôi thú cưng,"['Nội thất sẵn', 'Nhà vệ sinh riêng', 'An ninh tốt']","{'Latitude': 10.636957, 'Longitude': 109.303276}",Đông Anh,33,2
Hòa Bình,34,Nữ,Kỹ sư,16,2,Nuôi thú cưng,"['Máy lạnh', 'Nhà vệ sinh riêng', 'An ninh tốt']","{'Latitude': 21.526993, 'Longitude': 105.252997}",Phúc Thọ,18,1
Sơn La,28,Nam,Phục vụ,8,2,Thích yên tĩnh,['Nội thất sẵn'],"{'Latitude': 12.483909, 'Longitude': 102.92522}",Mỹ Đức,45,1
Phú Thọ,30,Nữ,Phục vụ,13,3,Không quan trọng,"['Chỗ để xe', 'Máy lạnh', 'An ninh tốt']","{'Latitude': 16.973659, 'Longitude': 106.346503}",Đông Anh,24,1
Bắc Kạn,25,Nữ,Kỹ sư,14,2,Nuôi thú cưng,['Chỗ để xe'],"{'Latitude': 21.472496, 'Longitude': 103.775587}",Bắc Từ Liêm,35,3
Lạng Sơn,31,Nam,Công nhân,13,2,Thích yên tĩnh,"['Nội thất sẵn', 'Nhà vệ sinh riêng', 'Máy lạnh', 'An ninh tốt']","{'Latitude': 10.277891, 'Longitude': 102.365462}",Mỹ Đức,50,4
Hưng Yên,24,Nữ,Nhân viên văn phòng,14,5,Thích yên tĩnh,"['Bếp', 'Nhà vệ sinh riêng', 'Chỗ để xe']","{'Latitude': 19.448064, 'Longitude': 102.871556}",Thường Tín,24,3
Hà Nam,26,Nữ,Freelancer,14,5,Không quan trọng,"['Máy lạnh', 'An ninh tốt', 'Nhà vệ sinh riêng']","{'Latitude': 9.069485, 'Longitude': 106.555166}",Phú Xuyên,11,4
Lào Cai,22,Nữ,Sinh viên,5,3,Nuôi thú cưng,"['Bếp', 'Nội thất sẵn', 'Máy lạnh', 'Chỗ để xe']","{'Latitude': 22.479134, 'Longitude': 102.942008}",Thanh Trì,44,3
Tuyên Quang,31,Nam,Freelancer,8,4,Nuôi thú cưng,['Nội thất sẵn'],"{'Latitude': 22.002305, 'Longitude': 104.915053}",Mỹ Đức,35,2
Điện Biên,26,Nữ,Kỹ sư,12,5,Không quan trọng,['Nội thất sẵn'],"{'Latitude': 8.655763, 'Longitude': 109.343295}",Hoàn Kiếm,19,4
Điện Biên,32,Nữ,Freelancer,9,2,Nuôi thú cưng,['Chỗ để xe'],"{'Latitude': 19.275219, 'Longitude': 105.704995}",Đống Đa,22,4
Vĩnh Phúc,24,Nam,Nhân viên văn phòng,18,1,Nuôi thú cưng,"['An ninh tốt', 'Nội thất sẵn', 'Chỗ để xe', 'Nhà vệ sinh riêng']","{'Latitude': 11.669715, 'Longitude': 108.888741}",Hà Đông,24,4
Bắc Ninh,31,Nam,Freelancer,18,1,Nuôi thú cưng,"['An ninh tốt', 'Nhà vệ sinh riêng']","{'Latitude': 15.295827, 'Longitude': 106.014475}",Gia Lâm,30,1
Tuyên Quang,31,Nữ,Nhân viên văn phòng,10,4,Thích yên tĩnh,['Máy lạnh'],"{'Latitude': 22.006335, 'Longitude': 105.437088}",Đan Phượng,39,3
Bắc Ninh,31,Nam,Freelancer,14,1,Không quan trọng,"['Nội thất sẵn', 'Nhà vệ sinh riêng', 'Bếp', 'Chỗ để xe']","{'Latitude': 13.773375, 'Longitude': 106.581017}",Long Biên,48,4
Lạng Sơn,30,Nam,Freelancer,6,3,Không quan trọng,"['Nhà vệ sinh riêng', 'Chỗ để xe', 'Máy lạnh', 'An ninh tốt']","{'Latitude': 12.266509, 'Longitude': 103.960237}",Phú Xuyên,36,4
Hà Nội,26,Nam,Freelancer,6,2,Không quan trọng,['Nội thất sẵn'],"{'Latitude': 12.032163, 'Longitude': 109.382401}",Đông Anh,31,4
Hưng Yên,26,Nam,Freelancer,12,3,Thích yên tĩnh,"['Nội thất sẵn', 'An ninh tốt', 'Chỗ để xe']","{'Latitude': 21.982563, 'Longitude': 108.66992}",Ba Vì,17,3
Hòa Bình,29,Nam,Freelancer,5,5,Thích yên tĩnh,"['Nội thất sẵn', 'Bếp', 'Chỗ để xe']","{'Latitude': 19.056756, 'Longitude': 105.265675}",Thanh Trì,18,3
Thái Nguyên,27,Nam,Phục vụ,11,3,Không quan trọng,"['Máy lạnh', 'An ninh tốt', 'Nội thất sẵn']","{'Latitude': 18.051986, 'Longitude': 106.96031}",Hoàn Kiếm,34,1
Bắc Kạn,33,Nam,Freelancer,17,1,Thích yên tĩnh,['Nhà vệ sinh riêng'],"{'Latitude': 16.635011, 'Longitude': 107.360993}",Nam Từ Liêm,14,4
Hà Nội,23,Nữ,Phục vụ,19,5,Nuôi thú cưng,"['An ninh tốt', 'Nhà vệ sinh riêng']","{'Latitude': 23.328389, 'Longitude': 109.412524}",Gia Lâm,22,2
Điện Biên,27,Nam,Phục vụ,11,5,Nuôi thú cưng,['Nhà vệ sinh riêng'],"{'Latitude': 8.353565, 'Longitude': 106.162579}",Thạch Thất,33,2
Ninh Bình,23,Nam,Kỹ sư,8,1,Thích yên tĩnh,['Bếp'],"{'Latitude': 13.094808, 'Longitude': 106.06378}",Ứng Hòa,49,3
Lạng Sơn,22,Nam,Sinh viên,4,2,Thích yên tĩnh,"['Nhà vệ sinh riêng', 'Nội thất sẵn', 'An ninh tốt', 'Bếp']","{'Latitude': 9.183295, 'Longitude': 103.029588}",Ba Đình,15,1
Nam Định,25,Nam,Công nhân,6,5,Nuôi thú cưng,"['An ninh tốt', 'Bếp']","{'Latitude': 18.680038, 'Longitude': 106.477846}",Thạch Thất,37,2
Tuyên Quang,32,Nữ,Công nhân,15,2,Không quan trọng,"['Nhà vệ sinh riêng', 'Bếp', 'Nội thất sẵn', 'Máy lạnh']","{'Latitude': 22.536272, 'Longitude': 102.33495}",Gia Lâm,11,4
Thái Bình,20,Nữ,Sinh viên,6,5,Thích yên tĩnh,"['An ninh tốt', 'Máy lạnh', 'Nội thất sẵn']","{'Latitude': 20.584023, 'Longitude': 104.944079}",Phú Xuyên,46,3
Hà Nội,31,Nữ,Công nhân,14,3,Nuôi thú cưng,['Nội thất sẵn'],"{'Latitude': 18.115203, 'Longitude': 103.245615}",Phú Xuyên,13,2
Ninh Bình,27,Nam,Kỹ sư,5,4,Thích yên tĩnh,['An ninh tốt'],"{'Latitude': 8.870475, 'Longitude': 109.41277}",Hoài Đức,10,2
Vĩnh Phúc,31,Nam,Freelancer,10,2,Nuôi thú cưng,"['Bếp', 'Máy lạnh']","{'Latitude': 20.45438, 'Longitude': 107.530779}",Hoàn Kiếm,20,1
Hà Nam,19,Nữ,Sinh viên,7,3,Không quan trọng,['Bếp'],"{'Latitude': 16.847615, 'Longitude': 102.313189}",Đống Đa,46,3
Hưng Yên,24,Nam,Kỹ sư,12,2,Thích yên tĩnh,['Nội thất sẵn'],"{'Latitude': 10.186562, 'Longitude': 105.146133}",Ba Đình,23,1
Hải Dương,33,Nữ,Kỹ sư,7,4,Không quan trọng,"['Nội thất sẵn', 'Chỗ để xe', 'An ninh tốt']","{'Latitude': 15.455236, 'Longitude': 105.446356}",Đông Anh,26,1
Nam Định,30,Nữ,Công nhân,6,1,Không quan trọng,"['Nhà vệ sinh riêng', 'Chỗ để xe']","{'Latitude': 11.869284, 'Longitude': 105.349874}",Hoàng Mai,17,1
Hà Nội,27,Nữ,Kỹ sư,17,3,Không quan trọng,"['Nội thất sẵn', 'Bếp']","{'Latitude': 21.872224, 'Longitude': 107.40656}",Đông Anh,14,1
Thái Bình,35,Nữ,Kỹ sư,16,4,Không quan trọng,"['An ninh tốt', 'Chỗ để xe', 'Nhà vệ sinh riêng']","{'Latitude': 23.178729, 'Longitude': 104.375551}",Sơn Tây,34,3
Hà Nội,27,Nữ,Phục vụ,12,3,Không quan trọng,"['Chỗ để xe', 'Nhà vệ sinh riêng', 'An ninh tốt']","{'Latitude': 11.929039, 'Longitude': 104.936085}",Thanh Xuân,38,2
Điện Biên,28,Nam,Nhân viên văn phòng,7,3,Không quan trọng,"['Bếp', 'An ninh tốt']","{'Latitude': 13.761719, 'Longitude': 106.099584}",Thanh Xuân,18,3
Sơn La,23,Nữ,Kỹ sư,6,1,Không quan trọng,"['An ninh tốt', 'Chỗ để xe']","{'Latitude': 16.584478, 'Longitude': 104.292228}",Thường Tín,39,3
Cao Bằng,21,Nam,Sinh viên,4,2,Thích yên tĩnh,"['Nhà vệ sinh riêng', 'Bếp']","{'Latitude': 16.98227, 'Longitude': 104.420762}",Hoài Đức,29,3
Bắc Kạn,29,Nữ,Phục vụ,16,5,Thích yên tĩnh,"['Máy lạnh', 'An ninh tốt', 'Chỗ để xe', 'Nội thất sẵn']","{'Latitude': 16.630788, 'Longitude': 103.205206}",Sóc Sơn,16,1
Quảng Ninh,27,Nữ,Kỹ sư,20,3,Nuôi thú cưng,"['Chỗ để xe', 'Nhà vệ sinh riêng', 'Bếp', 'Máy lạnh']","{'Latitude': 13.348266, 'Longitude': 107.145745}",Thanh Trì,38,2
Phú Thọ,24,Nam,Freelancer,14,4,Không quan trọng,"['Máy lạnh', 'Bếp', 'An ninh tốt', 'Nhà vệ sinh riêng']","{'Latitude': 17.001656, 'Longitude': 106.147753}",Thanh Oai,31,3
Hải Phòng,24,Nữ,Nhân viên văn phòng,10,5,Thích yên tĩnh,"['Nội thất sẵn', 'Máy lạnh', 'Chỗ để xe', 'Bếp']","{'Latitude': 10.698046, 'Longitude': 104.920444}",Gia Lâm,37,2
Hà Nội,34,Nữ,Kỹ sư,8,1,Không quan trọng,"['Nhà vệ sinh riêng', 'Bếp', 'Nội thất sẵn', 'An ninh tốt']","{'Latitude': 18.981866, 'Longitude': 106.356119}",Thạch Thất,10,4
Thái Bình,31,Nam,Kỹ sư,15,3,Không quan trọng,"['Chỗ để xe', 'Nhà vệ sinh riêng', 'Nội thất sẵn', 'An ninh tốt']","{'Latitude': 19.994306, 'Longitude': 102.585513}",Hai Bà Trưng,16,4
Bắc Giang,35,Nam,Freelancer,13,4,Không quan trọng,"['Nhà vệ sinh riêng', 'Máy lạnh', 'Bếp', 'Nội thất sẵn']","{'Latitude': 14.17285, 'Longitude': 102.412176}",Hai Bà Trưng,16,1
Ninh Bình,26,Nữ,Freelancer,8,3,Nuôi thú cưng,['Máy lạnh'],"{'Latitude': 21.797241, 'Longitude': 108.804965}",Nam Từ Liêm,13,3
Hà Nam,25,Nữ,Freelancer,15,4,Không quan trọng,"['An ninh tốt', 'Bếp']","{'Latitude': 23.371702, 'Longitude': 107.767646}",Nam Từ Liêm,15,1
Quảng Ninh,23,Nam,Freelancer,15,4,Không quan trọng,"['Nội thất sẵn', 'Máy lạnh', 'An ninh tốt', 'Nhà vệ sinh riêng']","{'Latitude': 14.114289, 'Longitude': 107.196956}",Hà Đông,46,2
Hà Nam,27,Nữ,Freelancer,18,4,Không quan trọng,"['An ninh tốt', 'Bếp', 'Chỗ để xe']","{'Latitude': 21.420018, 'Longitude': 109.022274}",Hai Bà Trưng,10,1
Hải Dương,18,Nữ,Sinh viên,4,4,Thích yên tĩnh,"['Bếp', 'Máy lạnh', 'Nội thất sẵn', 'An ninh tốt']","{'Latitude': 12.168772, 'Longitude': 106.80219}",Hoàng Mai,28,3
Nam Định,24,Nam,Kỹ sư,18,4,Thích yên tĩnh,"['Chỗ để xe', 'Máy lạnh']","{'Latitude': 8.660127, 'Longitude': 104.659155}",Mỹ Đức,35,3
Bắc Ninh,33,Nữ,Phục vụ,11,4,Nuôi thú cưng,"['Nội thất sẵn', 'Chỗ để xe', 'Bếp', 'An ninh tốt']","{'Latitude': 10.390339, 'Longitude': 105.634468}",Hoàn Kiếm,29,2
Hà Giang,25,Nữ,Freelancer,7,4,Nuôi thú cưng,"['Nội thất sẵn', 'Bếp', 'An ninh tốt']","{'Latitude': 22.184798, 'Longitude': 106.922501}",Hoài Đức,33,4
Hà Nam,33,Nam,Freelancer,16,2,Nuôi thú cưng,"['Nhà vệ sinh riêng', 'An ninh tốt', 'Nội thất sẵn', 'Bếp']","{'Latitude': 22.722518, 'Longitude': 103.017955}",Ba Đình,37,4
Yên Bái,23,Nữ,Freelancer,6,4,Không quan trọng,"['Nhà vệ sinh riêng', 'Chỗ để xe', 'Bếp']","{'Latitude': 19.230119, 'Longitude': 107.07261}",Sơn Tây,38,3
Hòa Bình,24,Nam,Phục vụ,19,2,Không quan trọng,"['Máy lạnh', 'Bếp', 'Nhà vệ sinh riêng']","{'Latitude': 17.119745, 'Longitude': 103.582329}",Ba Vì,31,1
Hà Nam,18,Nữ,Sinh viên,8,5,Không quan trọng,['Máy lạnh'],"{'Latitude': 19.979215, 'Longitude': 104.458153}",Hoài Đức,41,1
Lai Châu,23,Nam,Nhân viên văn phòng,15,5,Không quan trọng,"['Nội thất sẵn', 'Chỗ để xe', 'Nhà vệ sinh riêng', 'An ninh tốt']","{'Latitude': 8.955136, 'Longitude': 102.57226}",Cầu Giấy,20,2
Lạng Sơn,18,Nữ,Sinh viên,4,2,Không quan trọng,"['Nhà vệ sinh riêng', 'An ninh tốt', 'Bếp']","{'Latitude': 8.774216, 'Longitude': 104.049613}",Hoàn Kiếm,49,3
Bắc Giang,35,Nữ,Nhân viên văn phòng,13,1,Thích yên tĩnh,['Nội thất sẵn'],"{'Latitude': 11.687932, 'Longitude': 105.860302}",Đống Đa,28,3
Hải Phòng,22,Nam,Sinh viên,7,2,Thích yên tĩnh,"['Nhà vệ sinh riêng', 'Chỗ để xe']","{'Latitude': 16.347045, 'Longitude': 103.397794}",Thanh Trì,45,1
Tuyên Quang,28,Nam,Công nhân,18,3,Không quan trọng,"['Máy lạnh', 'An ninh tốt', 'Nội thất sẵn']","{'Latitude': 16.033623, 'Longitude': 104.350827}",Long Biên,27,4
Bắc Giang,30,Nữ,Freelancer,6,4,Thích yên tĩnh,"['Máy lạnh', 'Chỗ để xe', 'Nhà vệ sinh riêng']","{'Latitude': 12.895956, 'Longitude': 108.860334}",Nam Từ Liêm,39,3
Hưng Yên,34,Nam,Nhân viên văn phòng,5,3,Không quan trọng,['Nội thất sẵn'],"{'Latitude': 12.05301, 'Longitude': 104.056099}",Hà Đông,44,3
Hà Nội,23,Nữ,Freelancer,7,2,Không quan trọng,"['An ninh tốt', 'Máy lạnh']","{'Latitude': 9.201195, 'Longitude': 107.281615}",Thanh Trì,31,2
Điện Biên,19,Nữ,Sinh viên,9,5,Thích yên tĩnh,"['Nội thất sẵn', 'Nhà vệ sinh riêng', 'Bếp']","{'Latitude': 22.418716, 'Longitude': 107.431153}",Phú Xuyên,20,3
Quảng Ninh,24,Nữ,Freelancer,18,5,Không quan trọng,['Máy lạnh'],"{'Latitude': 9.763412, 'Longitude': 107.173636}",Đông Anh,15,2
Hưng Yên,32,Nữ,Công nhân,10,2,Nuôi thú cưng,"['Máy lạnh', 'An ninh tốt', 'Nhà vệ sinh riêng', 'Chỗ để xe']","{'Latitude': 10.23414, 'Longitude': 103.127566}",Phúc Thọ,49,2
Lai Châu,22,Nữ,Sinh viên,0,3,Không quan trọng,"['Nhà vệ sinh riêng', 'An ninh tốt']","{'Latitude': 16.221857, 'Longitude': 105.223318}",Nam Từ Liêm,24,1
Phú Thọ,28,Nam,Kỹ sư,11,1,Không quan trọng,"['Nhà vệ sinh riêng', 'An ninh tốt', 'Máy lạnh']","{'Latitude': 18.337924, 'Longitude': 109.025356}",Thường Tín,43,4
Hà Nội,26,Nữ,Kỹ sư,11,3,Thích yên tĩnh,['Máy lạnh'],"{'Latitude': 22.852371, 'Longitude': 106.676359}",Hoàng Mai,13,2
Bắc Giang,27,Nam,Công nhân,18,3,Nuôi thú cưng,"['An ninh tốt', 'Bếp', 'Nhà vệ sinh riêng']","{'Latitude': 14.202346, 'Longitude': 104.307505}",Đông Anh,16,2
Bắc Giang,25,Nữ,Kỹ sư,19,1,Thích yên tĩnh,"['Bếp', 'Máy lạnh', 'Nội thất sẵn', 'Nhà vệ sinh riêng']","{'Latitude': 14.214947, 'Longitude': 105.559387}",Sóc Sơn,43,3
Lào Cai,19,Nữ,Sinh viên,8,1,Nuôi thú cưng,['Nội thất sẵn'],"{'Latitude': 22.308224, 'Longitude': 104.338047}",Phúc Thọ,29,3
Hải Phòng,34,Nữ,Kỹ sư,17,4,Không quan trọng,['An ninh tốt'],"{'Latitude': 15.615586, 'Longitude': 109.093549}",Ba Đình,10,4
Điện Biên,26,Nữ,Nhân viên văn phòng,13,5,Thích yên tĩnh,"['Nội thất sẵn', 'Máy lạnh', 'Chỗ để xe']","{'Latitude': 15.566726, 'Longitude': 104.556241}",Long Biên,27,3
Hòa Bình,32,Nam,Nhân viên văn phòng,18,5,Không quan trọng,['Nhà vệ sinh riêng'],"{'Latitude': 18.224654, 'Longitude': 107.092814}",Hoàn Kiếm,33,4
Yên Bái,26,Nữ,Nhân viên văn phòng,18,5,Nuôi thú cưng,"['Máy lạnh', 'Chỗ để xe', 'An ninh tốt']","{'Latitude': 16.585546, 'Longitude': 108.996736}",Bắc Từ Liêm,46,1
Hải Dương,22,Nam,Sinh viên,9,1,Không quan trọng,"['Bếp', 'Máy lạnh', 'Nhà vệ sinh riêng', 'An ninh tốt']","{'Latitude': 18.891776, 'Longitude': 104.939963}",Cầu Giấy,16,1
Bắc Ninh,25,Nam,Freelancer,17,5,Nuôi thú cưng,"['An ninh tốt', 'Chỗ để xe', 'Nội thất sẵn', 'Bếp']","{'Latitude': 21.104172, 'Longitude': 102.303574}",Phúc Thọ,18,1
Hà Nội,29,Nam,Phục vụ,18,3,Thích yên tĩnh,"['Chỗ để xe', 'Máy lạnh', 'An ninh tốt']","{'Latitude': 13.813366, 'Longitude': 105.182406}",Hoàn Kiếm,26,2
Hải Phòng,32,Nam,Nhân viên văn phòng,12,1,Không quan trọng,['Bếp'],"{'Latitude': 19.663096, 'Longitude': 109.306733}",Hà Đông,26,3
Lạng Sơn,25,Nữ,Kỹ sư,19,2,Không quan trọng,"['Nội thất sẵn', 'Nhà vệ sinh riêng']","{'Latitude': 14.272404, 'Longitude': 108.381557}",Gia Lâm,47,2
Cao Bằng,29,Nữ,Công nhân,16,1,Nuôi thú cưng,['Bếp'],"{'Latitude': 13.671773, 'Longitude': 103.800933}",Ba Vì,32,4
Nam Định,23,Nam,Nhân viên văn phòng,20,1,Thích yên tĩnh,"['Chỗ để xe', 'Nội thất sẵn', 'An ninh tốt', 'Nhà vệ sinh riêng']","{'Latitude': 15.549423, 'Longitude': 102.55412}",Thường Tín,32,1
Bắc Ninh,30,Nam,Phục vụ,15,5,Thích yên tĩnh,['Chỗ để xe'],"{'Latitude': 17.099497, 'Longitude': 108.352335}",Sóc Sơn,49,3
Hòa Bình,34,Nữ,Nhân viên văn phòng,16,4,Nuôi thú cưng,"['Chỗ để xe', 'Bếp', 'Máy lạnh']","{'Latitude': 9.177358, 'Longitude': 102.636802}",Nam Từ Liêm,26,4
Quảng Ninh,27,Nữ,Công nhân,16,3,Thích yên tĩnh,"['Nội thất sẵn', 'Nhà vệ sinh riêng', 'An ninh tốt']","{'Latitude': 15.867803, 'Longitude': 107.833006}",Mỹ Đức,41,2
Lào Cai,21,Nam,Sinh viên,0,1,Nuôi thú cưng,['Máy lạnh'],"{'Latitude': 22.220565, 'Longitude': 107.894052}",Bắc Từ Liêm,44,4
Thái Nguyên,25,Nữ,Nhân viên văn phòng,17,3,Nuôi thú cưng,"['An ninh tốt', 'Máy lạnh']","{'Latitude': 15.860694, 'Longitude': 109.424209}",Thanh Oai,23,2
Hưng Yên,34,Nam,Nhân viên văn phòng,16,2,Thích yên tĩnh,"['Nội thất sẵn', 'Bếp']","{'Latitude': 22.656314, 'Longitude': 106.766909}",Phúc Thọ,33,4
Sơn La,26,Nữ,Freelancer,9,4,Không quan trọng,['Bếp'],"{'Latitude': 19.405107, 'Longitude': 107.584241}",Đống Đa,42,1
Thái Bình,30,Nữ,Phục vụ,16,4,Không quan trọng,"['Bếp', 'Nội thất sẵn', 'Chỗ để xe', 'Máy lạnh']","{'Latitude': 10.12008, 'Longitude': 103.281927}",Gia Lâm,14,3
Bắc Ninh,26,Nữ,Phục vụ,13,4,Thích yên tĩnh,"['Nội thất sẵn', 'Bếp']","{'Latitude': 10.268342, 'Longitude': 107.077475}",Ứng Hòa,27,4
Hải Dương,31,Nam,Phục vụ,18,4,Không quan trọng,['Chỗ để xe'],"{'Latitude': 15.137201, 'Longitude': 103.494211}",Tây Hồ,39,1
Sơn La,25,Nam,Nhân viên văn phòng,16,4,Nuôi thú cưng,"['Nhà vệ sinh riêng', 'Bếp', 'Máy lạnh', 'Nội thất sẵn']","{'Latitude': 21.180665, 'Longitude': 104.754424}",Bắc Từ Liêm,48,3
Hòa Bình,35,Nam,Phục vụ,6,4,Nuôi thú cưng,"['Chỗ để xe', 'Nội thất sẵn']","{'Latitude': 21.067028, 'Longitude': 108.118009}",Phú Xuyên,12,4
Lai Châu,31,Nam,Freelancer,10,2,Thích yên tĩnh,"['An ninh tốt', 'Chỗ để xe', 'Nhà vệ sinh riêng']","{'Latitude': 20.036321, 'Longitude': 102.259573}",Hoàn Kiếm,17,4
Hà Nam,30,Nam,Kỹ sư,11,5,Nuôi thú cưng,"['Máy lạnh', 'Chỗ để xe']","{'Latitude': 10.051032, 'Longitude': 103.176917}",Hoài Đức,30,3
Hà Nội,23,Nữ,Công nhân,16,3,Nuôi thú cưng,"['Máy lạnh', 'Nội thất sẵn', 'Chỗ để xe', 'Nhà vệ sinh riêng']","{'Latitude': 19.818593, 'Longitude': 105.640456}",Hoàng Mai,35,3
Hải Phòng,26,Nam,Freelancer,7,4,Nuôi thú cưng,"['Bếp', 'Nhà vệ sinh riêng', 'Nội thất sẵn', 'Chỗ để xe']","{'Latitude': 22.543697, 'Longitude': 109.415468}",Ba Đình,44,4
Tuyên Quang,26,Nữ,Kỹ sư,10,4,Không quan trọng,"['Bếp', 'Máy lạnh']","{'Latitude': 10.69519, 'Longitude': 105.744304}",Đống Đa,30,1
Thái Bình,29,Nam,Kỹ sư,15,5,Không quan trọng,"['Chỗ để xe', 'Máy lạnh']","{'Latitude': 10.080921, 'Longitude': 105.31615}",Hai Bà Trưng,27,1
Hải Phòng,25,Nữ,Công nhân,10,1,Thích yên tĩnh,"['Máy lạnh', 'Chỗ để xe', 'Nội thất sẵn', 'Nhà vệ sinh riêng']","{'Latitude': 14.109389, 'Longitude': 105.624356}",Đống Đa,41,1
Tuyên Quang,29,Nam,Kỹ sư,9,5,Thích yên tĩnh,"['Chỗ để xe', 'Bếp', 'Nhà vệ sinh riêng']","{'Latitude': 20.476371, 'Longitude': 104.955538}",Gia Lâm,32,1
Hải Phòng,31,Nam,Freelancer,14,3,Nuôi thú cưng,"['Máy lạnh', 'An ninh tốt', 'Chỗ để xe', 'Nội thất sẵn']","{'Latitude': 13.300299, 'Longitude': 106.985346}",Đông Anh,44,3
Hà Giang,23,Nữ,Công nhân,7,2,Thích yên tĩnh,['Máy lạnh'],"{'Latitude': 13.899127, 'Longitude': 104.885665}",Tây Hồ,39,1
Nam Định,29,Nam,Nhân viên văn phòng,19,4,Thích yên tĩnh,"['Nội thất sẵn', 'An ninh tốt', 'Bếp', 'Máy lạnh']","{'Latitude': 15.986091, 'Longitude': 106.486773}",Hoàng Mai,13,1
Điện Biên,25,Nữ,Công nhân,5,2,Không quan trọng,"['Chỗ để xe', 'An ninh tốt', 'Bếp']","{'Latitude': 13.393625, 'Longitude': 105.837341}",Phú Xuyên,40,3
Bắc Giang,35,Nam,Kỹ sư,13,4,Nuôi thú cưng,"['Nội thất sẵn', 'Nhà vệ sinh riêng', 'Máy lạnh']","{'Latitude': 19.567924, 'Longitude': 104.150056}",Ba Vì,33,3
Lào Cai,34,Nữ,Freelancer,20,1,Không quan trọng,"['Chỗ để xe', 'An ninh tốt', 'Nội thất sẵn', 'Máy lạnh']","{'Latitude': 9.866846, 'Longitude': 107.348895}",Ứng Hòa,22,4
Thái Nguyên,31,Nam,Phục vụ,8,5,Không quan trọng,"['Nhà vệ sinh riêng', 'Máy lạnh', 'Nội thất sẵn', 'Bếp']","{'Latitude': 10.764489, 'Longitude': 107.298656}",Ba Đình,31,4
Thái Bình,22,Nữ,Sinh viên,0,5,Không quan trọng,"['Máy lạnh', 'Nội thất sẵn', 'An ninh tốt', 'Chỗ để xe']","{'Latitude': 16.672307, 'Longitude': 104.868066}",Mỹ Đức,50,3
Vĩnh Phúc,25,Nam,Kỹ sư,5,1,Nuôi thú cưng,"['Nội thất sẵn', 'Chỗ để xe']","{'Latitude': 23.022877, 'Longitude': 102.41525}",Hoài Đức,11,2
Hải Phòng,31,Nữ,Nhân viên văn phòng,15,3,Không quan trọng,"['Chỗ để xe', 'An ninh tốt', 'Nội thất sẵn']","{'Latitude': 18.844962, 'Longitude': 102.516631}",Long Biên,45,3
Thái Nguyên,26,Nữ,Kỹ sư,14,3,Nuôi thú cưng,['Nhà vệ sinh riêng'],"{'Latitude': 11.807378, 'Longitude': 103.603378}",Ba Vì,44,4
Hòa Bình,32,Nữ,Kỹ sư,15,5,Thích yên tĩnh,"['Máy lạnh', 'Nhà vệ sinh riêng', 'An ninh tốt']","{'Latitude': 9.974238, 'Longitude': 102.23654}",Hoài Đức,39,3
Hà Giang,25,Nữ,Công nhân,8,2,Nuôi thú cưng,['Bếp'],"{'Latitude': 10.632881, 'Longitude': 105.049416}",Thanh Xuân,10,3
Yên Bái,24,Nữ,Phục vụ,11,4,Nuôi thú cưng,"['Máy lạnh', 'Bếp', 'Nhà vệ sinh riêng']","{'Latitude': 23.204947, 'Longitude': 106.467821}",Nam Từ Liêm,29,2
Nam Định,26,Nam,Freelancer,8,5,Không quan trọng,"['Chỗ để xe', 'An ninh tốt']","{'Latitude': 21.403745, 'Longitude': 107.516112}",Hoàn Kiếm,34,4
Bắc Ninh,26,Nam,Kỹ sư,8,4,Không quan trọng,"['An ninh tốt', 'Chỗ để xe', 'Máy lạnh']","{'Latitude': 10.817474, 'Longitude': 106.072192}",Ba Vì,25,4
Hà Nam,30,Nữ,Nhân viên văn phòng,17,3,Nuôi thú cưng,['Nhà vệ sinh riêng'],"{'Latitude': 14.420846, 'Longitude': 109.061756}",Sơn Tây,19,3
Ninh Bình,24,Nữ,Công nhân,13,4,Nuôi thú cưng,"['Chỗ để xe', 'Nội thất sẵn', 'An ninh tốt']","{'Latitude': 11.255428, 'Longitude': 106.561497}",Hoàng Mai,15,3
Thái Nguyên,32,Nam,Kỹ sư,13,5,Thích yên tĩnh,['Chỗ để xe'],"{'Latitude': 12.182483, 'Longitude': 104.904931}",Thường Tín,43,4
